id,url
33049,/homeowners/ge_icemaker.html
41768,/insurance/alfa_auto.html
8791,/computers/ea_sports.html
47440,/homeowners/lowe_deny.html
18449,/insurance/bluecross_ca.html
55986,/dating_services/executive.html
28077,/rx/cvs_rx_errors_wrong_dosage.html
55845,/dating_services/all_about_singles.html
55655,/dating_services/together.html
41827,/insurance/metlife_life.html
14823,/in_home/kirby_uk.html
11175,/retail/walmart_hazards.html
55730,/dating_services/just_lunch_fans.html
3910,/automotive/isuzu.html
51178,/homeowners/ge_washing_machines_svc.htm
34153,/computers/mcafee.html
39256,/computers/mcafee_rebate.html
47375,/finance/citizens_bank_ri.html
4945,/automotive/carfax.html
13739,/education/phoenix_responds.html
16434,/rx/walgreen_error.html
48624,/finance/union_bank.html
379,/supermarkets/stopnshop.html
22240,/travel/british_airways.htm
49195,/homeowners/trugreen_toolittle.html
4756,/automotive/gmc_yukon_engine.html
3904,/automotive/mitsubishi.html
32980,/travel/aeromexico.html
41295,/credit_cards/tribute_mastercard.html
49762,/homeowners/jandy_pool.html
37250,/furniture/sears.htm
55600,/online/stamps_com.html
14152,/weddings/helens_bridal.htm
14378,/auto_warranty/us_warranty.html
36358,/homeowners/rotovac.html
1294,/automotive/ford_ranger_fires.html
56044,/education/phoenix_teams.html
7274,/delivery/fedex_ground_wrong.html
25245,/debt/nco.html
33166,/retail/old_navy.html
26095,/cosmetics/covergirl.html
47820,/finance/astoria_fsb.html
28508,/travel/aeroflot.html
36750,/online/imvu.html
30144,/online/paypal.html
2159,/automotive/ford_exped_transfer.html
28817,/health/fire_safe_cigarettes.html
13501,/consumerism/small_ks.html
26096,/debt/national_recovery_network.html
27049,/internet/comcast_isp_install.html
50024,/homeowners/kit_hotwater.html
381,/supermarkets/ctown.html
33739,/cell_phones/verizon_wi_contract.html
46599,/cell_phones/cellular_blowout.html
28318,/rx/medco_delays.html
26162,/travel/crosby_tours.html
31972,/insurance/statefarm_autothft.html
42175,/online/ecocanteen.html
29359,/misc/yellow_pages.html
616,/automotive/gm_airbags.html
14161,/catalog/victoria_secret.htm
46808,/cell_phones/ild_intro.html
17616,/legal/ca_christian_lawyers.html
24436,/debt/hpc.html
42126,/cell_phones/zpdi_collect.html
4703,/automotive/mitsubishi_transmission.html
16062,/movers/uhaul_storage.html
2103,/automotive/ny_atlantic_auto_mall.html
343,/supermarkets/giant.html
43421,/furniture/klaussner_furniture_de.html
34571,/retail/jc_penney_online.html
48700,/finance/screen_door01.html
869,/automotive/ford_expedition.htm
55674,/travel/super_8.html
29858,/internet/bellsouth_dsl.htm
23250,/debt/advanced_credit_recovery.html
1062,/automotive/ny_rockland.html
14018,/consumerism/small_nd.html
260,/supermarkets/pathmark.html
30856,/cell_phones/zpdi_callcard.html
49406,/finance/discountadvances.html
42065,/computers/compaq.htm
4365,/automotive/auto_leasing.html
31179,/travel/northwest_airlines.htm
40210,/online/bargain_network.html
55546,/travel/comfort.html
1009,/automotive/ford_explorer.html
57211,/travel/timeshare_adventures.html
25868,/auto_warranty/national_dealers_warranty.html
18573,/debt_counsel/nationwide.html
8429,/computers/a_gateway_colloquy.htm
43081,/homeowners/royal_prestige_statement.html
15274,/food/nabisco.html
8632,/computers/viewsonic.html
31724,/insurance/att.html
41256,/furniture/select_fans.html
11697,/boats/malibu.html
28470,/pets/clawed.html
38775,/homeowners/dover_pools_marlboro.htm
49420,/finance/bofa_online.html
